ANIO,NUMERO_MES,MES,TIPO_ACCIDENTE,ID_ESTADO,ESTADO,ID_MUNICIPIO,NOMBRE_MUNICIPIO,TOTAL_ACCIDENTES,SUMA_MUERTOS,SUMA_HERIDOS
2012,1,Enero,Caída de pasajero,26,Sonora,30,Hermosillo,3,0,7
2012,1,Enero,Colisión con objeto fijo,26,Sonora,30,Hermosillo,18,0,13
2012,1,Enero,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,18,1,17
2012,1,Enero,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,169,1,125
2012,1,Enero,Otro,26,Sonora,30,Hermosillo,2,0,0
2012,1,Enero,Volcadura,26,Sonora,30,Hermosillo,3,1,3
2012,2,Febrero,Caída de pasajero,26,Sonora,30,Hermosillo,3,0,3
2012,2,Febrero,Colisión con ciclista,26,Sonora,30,Hermosillo,10,0,11
2012,2,Febrero,Colisión con ferrocarril,26,Sonora,30,Hermosillo,1,0,5
2012,2,Febrero,Colisión con motocicleta,26,Sonora,30,Hermosillo,14,0,12
2012,2,Febrero,Colisión con objeto fijo,26,Sonora,30,Hermosillo,38,1,11
2012,2,Febrero,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,18,2,19
2012,2,Febrero,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,118,2,96
2012,2,Febrero,Volcadura,26,Sonora,30,Hermosillo,2,0,4
2012,3,Marzo,Caída de pasajero,26,Sonora,30,Hermosillo,2,0,3
2012,3,Marzo,Colisión con ciclista,26,Sonora,30,Hermosillo,5,0,5
2012,3,Marzo,Colisión con motocicleta,26,Sonora,30,Hermosillo,24,1,25
2012,3,Marzo,Colisión con objeto fijo,26,Sonora,30,Hermosillo,31,0,4
2012,3,Marzo,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,22,2,23
2012,3,Marzo,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,160,0,117
2012,3,Marzo,Salida del camino,26,Sonora,30,Hermosillo,2,0,0
2012,3,Marzo,Volcadura,26,Sonora,30,Hermosillo,5,0,10
2012,4,Abril,Colisión con ciclista,26,Sonora,30,Hermosillo,10,0,9
2012,4,Abril,Colisión con motocicleta,26,Sonora,30,Hermosillo,15,0,11
2012,4,Abril,Colisión con objeto fijo,26,Sonora,30,Hermosillo,29,0,11
2012,4,Abril,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,12,1,11
2012,4,Abril,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,122,0,72
2012,4,Abril,Salida del camino,26,Sonora,30,Hermosillo,2,0,6
2012,4,Abril,Volcadura,26,Sonora,30,Hermosillo,5,0,5
2012,5,Mayo,Caída de pasajero,26,Sonora,30,Hermosillo,3,0,4
2012,5,Mayo,Colisión con ciclista,26,Sonora,30,Hermosillo,6,0,6
2012,5,Mayo,Colisión con motocicleta,26,Sonora,30,Hermosillo,14,1,13
2012,5,Mayo,Colisión con objeto fijo,26,Sonora,30,Hermosillo,31,0,12
2012,5,Mayo,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,14,0,14
2012,5,Mayo,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,139,0,82
2012,5,Mayo,Volcadura,26,Sonora,30,Hermosillo,7,1,9
2012,6,Junio,Caída de pasajero,26,Sonora,30,Hermosillo,2,0,2
2012,6,Junio,Colisión con ciclista,26,Sonora,30,Hermosillo,7,0,6
2012,6,Junio,Colisión con ferrocarril,26,Sonora,30,Hermosillo,1,0,0
2012,6,Junio,Colisión con motocicleta,26,Sonora,30,Hermosillo,14,0,9
2012,6,Junio,Colisión con objeto fijo,26,Sonora,30,Hermosillo,30,0,12
2012,6,Junio,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,14,2,12
2012,6,Junio,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,134,1,80
2012,6,Junio,Salida del camino,26,Sonora,30,Hermosillo,1,0,0
2012,6,Junio,Volcadura,26,Sonora,30,Hermosillo,5,0,4
2012,7,Julio,Caída de pasajero,26,Sonora,30,Hermosillo,2,0,2
2012,7,Julio,Colisión con ciclista,26,Sonora,30,Hermosillo,5,0,6
2012,7,Julio,Colisión con motocicleta,26,Sonora,30,Hermosillo,8,0,8
2012,7,Julio,Colisión con objeto fijo,26,Sonora,30,Hermosillo,26,0,0
2012,7,Julio,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,14,1,14
2012,7,Julio,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,116,0,76
2012,7,Julio,Salida del camino,26,Sonora,30,Hermosillo,3,1,0
2012,7,Julio,Volcadura,26,Sonora,30,Hermosillo,5,0,2
2012,8,Agosto,Caída de pasajero,26,Sonora,30,Hermosillo,3,0,4
2012,8,Agosto,Colisión con ciclista,26,Sonora,30,Hermosillo,5,0,5
2012,8,Agosto,Colisión con motocicleta,26,Sonora,30,Hermosillo,16,1,15
2012,8,Agosto,Colisión con objeto fijo,26,Sonora,30,Hermosillo,23,0,8
2012,8,Agosto,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,22,1,23
2012,8,Agosto,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,120,0,91
2012,8,Agosto,Salida del camino,26,Sonora,30,Hermosillo,1,0,2
2012,8,Agosto,Volcadura,26,Sonora,30,Hermosillo,1,0,1
2012,9,Septiembre,Caída de pasajero,26,Sonora,30,Hermosillo,1,0,1
2012,9,Septiembre,Colisión con ciclista,26,Sonora,30,Hermosillo,9,3,3
2012,9,Septiembre,Colisión con motocicleta,26,Sonora,30,Hermosillo,13,0,11
2012,9,Septiembre,Colisión con objeto fijo,26,Sonora,30,Hermosillo,13,0,1
2012,9,Septiembre,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,13,1,12
2012,9,Septiembre,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,91,2,59
2012,9,Septiembre,Volcadura,26,Sonora,30,Hermosillo,1,0,0
2012,10,Octubre,Caída de pasajero,26,Sonora,30,Hermosillo,2,0,2
2012,10,Octubre,Colisión con ciclista,26,Sonora,30,Hermosillo,10,1,10
2012,10,Octubre,Colisión con motocicleta,26,Sonora,30,Hermosillo,15,0,15
2012,10,Octubre,Colisión con objeto fijo,26,Sonora,30,Hermosillo,26,0,8
2012,10,Octubre,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,19,0,21
2012,10,Octubre,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,112,3,80
2012,10,Octubre,Volcadura,26,Sonora,30,Hermosillo,2,0,1
2012,11,Noviembre,Caída de pasajero,26,Sonora,30,Hermosillo,1,0,1
2012,11,Noviembre,Colisión con ciclista,26,Sonora,30,Hermosillo,7,0,8
2012,11,Noviembre,Colisión con motocicleta,26,Sonora,30,Hermosillo,10,0,12
2012,11,Noviembre,Colisión con objeto fijo,26,Sonora,30,Hermosillo,17,0,5
2012,11,Noviembre,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,19,1,19
2012,11,Noviembre,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,107,0,85
2012,11,Noviembre,Salida del camino,26,Sonora,30,Hermosillo,2,0,2
2012,11,Noviembre,Volcadura,26,Sonora,30,Hermosillo,3,0,0
2012,12,Diciembre,Caída de pasajero,26,Sonora,30,Hermosillo,2,0,3
2012,12,Diciembre,Colisión con ciclista,26,Sonora,30,Hermosillo,9,1,8
2012,12,Diciembre,Colisión con motocicleta,26,Sonora,30,Hermosillo,14,2,12
2012,12,Diciembre,Colisión con objeto fijo,26,Sonora,30,Hermosillo,33,1,7
2012,12,Diciembre,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,12,0,13
2012,12,Diciembre,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,124,0,83
2012,12,Diciembre,Volcadura,26,Sonora,30,Hermosillo,10,1,15
2013,1,Enero,Caída de pasajero,26,Sonora,30,Hermosillo,2,0,2
2013,1,Enero,Colisión con ciclista,26,Sonora,30,Hermosillo,7,0,7
2013,1,Enero,Colisión con motocicleta,26,Sonora,30,Hermosillo,11,0,7
2013,1,Enero,Colisión con objeto fijo,26,Sonora,30,Hermosillo,21,0,11
2013,1,Enero,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,14,0,16
2013,1,Enero,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,99,0,70
2013,1,Enero,Salida del camino,26,Sonora,30,Hermosillo,2,0,0
2013,1,Enero,Volcadura,26,Sonora,30,Hermosillo,1,0,0
2013,2,Febrero,Caída de pasajero,26,Sonora,30,Hermosillo,2,0,3
2013,2,Febrero,Colisión con ciclista,26,Sonora,30,Hermosillo,5,0,6
2013,2,Febrero,Colisión con motocicleta,26,Sonora,30,Hermosillo,11,0,9
2013,2,Febrero,Colisión con objeto fijo,26,Sonora,30,Hermosillo,14,0,7
2013,2,Febrero,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,15,0,15
2013,2,Febrero,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,88,1,86
2013,2,Febrero,Volcadura,26,Sonora,30,Hermosillo,3,0,3
2013,3,Marzo,Caída de pasajero,26,Sonora,30,Hermosillo,5,0,6
2013,3,Marzo,Colisión con ciclista,26,Sonora,30,Hermosillo,7,1,7
2013,3,Marzo,Colisión con motocicleta,26,Sonora,30,Hermosillo,19,0,20
2013,3,Marzo,Colisión con objeto fijo,26,Sonora,30,Hermosillo,16,0,8
2013,3,Marzo,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,20,1,23
2013,3,Marzo,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,88,0,38
2013,3,Marzo,Salida del camino,26,Sonora,30,Hermosillo,3,0,3
2013,3,Marzo,Volcadura,26,Sonora,30,Hermosillo,1,0,0
2013,4,Abril,Caída de pasajero,26,Sonora,30,Hermosillo,2,0,2
2013,4,Abril,Colisión con ciclista,26,Sonora,30,Hermosillo,4,0,4
2013,4,Abril,Colisión con motocicleta,26,Sonora,30,Hermosillo,10,0,8
2013,4,Abril,Colisión con objeto fijo,26,Sonora,30,Hermosillo,17,0,4
2013,4,Abril,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,15,3,12
2013,4,Abril,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,96,0,70
2013,4,Abril,Salida del camino,26,Sonora,30,Hermosillo,1,0,0
2013,4,Abril,Volcadura,26,Sonora,30,Hermosillo,4,0,4
2013,5,Mayo,Colisión con ciclista,26,Sonora,30,Hermosillo,7,0,8
2013,5,Mayo,Colisión con motocicleta,26,Sonora,30,Hermosillo,15,0,16
2013,5,Mayo,Colisión con objeto fijo,26,Sonora,30,Hermosillo,21,1,6
2013,5,Mayo,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,17,0,17
2013,5,Mayo,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,125,0,85
2013,5,Mayo,Salida del camino,26,Sonora,30,Hermosillo,4,0,1
2013,5,Mayo,Volcadura,26,Sonora,30,Hermosillo,3,0,6
2013,6,Junio,Caída de pasajero,26,Sonora,30,Hermosillo,5,0,5
2013,6,Junio,Colisión con ciclista,26,Sonora,30,Hermosillo,5,0,5
2013,6,Junio,Colisión con motocicleta,26,Sonora,30,Hermosillo,18,0,19
2013,6,Junio,Colisión con objeto fijo,26,Sonora,30,Hermosillo,15,0,7
2013,6,Junio,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,21,3,20
2013,6,Junio,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,108,0,66
2013,6,Junio,Otro,26,Sonora,30,Hermosillo,1,0,0
2013,6,Junio,Salida del camino,26,Sonora,30,Hermosillo,1,1,0
2013,6,Junio,Volcadura,26,Sonora,30,Hermosillo,3,0,4
2013,7,Julio,Caída de pasajero,26,Sonora,30,Hermosillo,3,0,4
2013,7,Julio,Colisión con animal,26,Sonora,30,Hermosillo,1,0,1
2013,7,Julio,Colisión con ciclista,26,Sonora,30,Hermosillo,5,0,5
2013,7,Julio,Colisión con motocicleta,26,Sonora,30,Hermosillo,13,1,15
2013,7,Julio,Colisión con objeto fijo,26,Sonora,30,Hermosillo,23,0,12
2013,7,Julio,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,20,1,21
2013,7,Julio,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,88,0,66
2013,7,Julio,Salida del camino,26,Sonora,30,Hermosillo,2,4,0
2013,7,Julio,Volcadura,26,Sonora,30,Hermosillo,5,1,3
2013,8,Agosto,Colisión con ciclista,26,Sonora,30,Hermosillo,3,0,3
2013,8,Agosto,Colisión con motocicleta,26,Sonora,30,Hermosillo,17,0,18
2013,8,Agosto,Colisión con objeto fijo,26,Sonora,30,Hermosillo,20,1,6
2013,8,Agosto,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,8,0,8
2013,8,Agosto,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,86,0,52
2013,8,Agosto,Salida del camino,26,Sonora,30,Hermosillo,1,0,0
2013,8,Agosto,Volcadura,26,Sonora,30,Hermosillo,3,0,7
2013,9,Septiembre,Caída de pasajero,26,Sonora,30,Hermosillo,1,0,1
2013,9,Septiembre,Colisión con objeto fijo,26,Sonora,30,Hermosillo,12,0,0
2013,9,Septiembre,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,26,3,26
2013,9,Septiembre,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,111,3,87
2013,9,Septiembre,Salida del camino,26,Sonora,30,Hermosillo,1,0,0
2013,9,Septiembre,Volcadura,26,Sonora,30,Hermosillo,5,0,4
2013,10,Octubre,Caída de pasajero,26,Sonora,30,Hermosillo,2,0,2
2013,10,Octubre,Colisión con ciclista,26,Sonora,30,Hermosillo,6,1,5
2013,10,Octubre,Colisión con motocicleta,26,Sonora,30,Hermosillo,17,0,14
2013,10,Octubre,Colisión con objeto fijo,26,Sonora,30,Hermosillo,14,0,7
2013,10,Octubre,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,17,1,19
2013,10,Octubre,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,112,2,79
2013,10,Octubre,Salida del camino,26,Sonora,30,Hermosillo,3,1,0
2013,10,Octubre,Volcadura,26,Sonora,30,Hermosillo,6,0,6
2013,11,Noviembre,Caída de pasajero,26,Sonora,30,Hermosillo,29,1,71
2013,11,Noviembre,Colisión con ciclista,26,Sonora,30,Hermosillo,6,1,6
2013,11,Noviembre,Colisión con motocicleta,26,Sonora,30,Hermosillo,19,0,11
2013,11,Noviembre,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,17,2,17
2013,11,Noviembre,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,112,0,18
2013,12,Diciembre,Caída de pasajero,26,Sonora,30,Hermosillo,2,0,2
2013,12,Diciembre,Colisión con objeto fijo,26,Sonora,30,Hermosillo,22,0,5
2013,12,Diciembre,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,24,0,25
2013,12,Diciembre,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,127,0,73
2014,1,Enero,Caída de pasajero,26,Sonora,30,Hermosillo,4,0,8
2014,1,Enero,Colisión con animal,26,Sonora,30,Hermosillo,1,0,0
2014,1,Enero,Colisión con ciclista,26,Sonora,30,Hermosillo,14,0,10
2014,1,Enero,Colisión con motocicleta,26,Sonora,30,Hermosillo,25,0,25
2014,1,Enero,Colisión con objeto fijo,26,Sonora,30,Hermosillo,37,1,20
2014,1,Enero,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,24,1,23
2014,1,Enero,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,264,0,53
2014,1,Enero,Salida del camino,26,Sonora,30,Hermosillo,2,0,1
2014,1,Enero,Volcadura,26,Sonora,30,Hermosillo,4,0,4
2014,2,Febrero,Caída de pasajero,26,Sonora,30,Hermosillo,5,0,5
2014,2,Febrero,Colisión con ciclista,26,Sonora,30,Hermosillo,17,0,11
2014,2,Febrero,Colisión con motocicleta,26,Sonora,30,Hermosillo,27,0,16
2014,2,Febrero,Colisión con objeto fijo,26,Sonora,30,Hermosillo,39,0,4
2014,2,Febrero,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,21,1,20
2014,2,Febrero,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,290,2,67
2014,2,Febrero,Volcadura,26,Sonora,30,Hermosillo,2,0,2
2014,3,Marzo,Caída de pasajero,26,Sonora,30,Hermosillo,8,0,12
2014,3,Marzo,Colisión con ciclista,26,Sonora,30,Hermosillo,16,0,13
2014,3,Marzo,Colisión con motocicleta,26,Sonora,30,Hermosillo,27,0,21
2014,3,Marzo,Colisión con objeto fijo,26,Sonora,30,Hermosillo,36,2,9
2014,3,Marzo,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,19,0,21
2014,3,Marzo,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,318,1,88
2014,3,Marzo,Volcadura,26,Sonora,30,Hermosillo,5,0,2
2014,4,Abril,Caída de pasajero,26,Sonora,30,Hermosillo,4,0,6
2014,4,Abril,Colisión con ciclista,26,Sonora,30,Hermosillo,11,0,7
2014,4,Abril,Colisión con motocicleta,26,Sonora,30,Hermosillo,24,0,19
2014,4,Abril,Colisión con objeto fijo,26,Sonora,30,Hermosillo,40,2,7
2014,4,Abril,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,18,2,18
2014,4,Abril,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,269,1,51
2014,4,Abril,Volcadura,26,Sonora,30,Hermosillo,2,1,1
2014,5,Mayo,Caída de pasajero,26,Sonora,30,Hermosillo,6,0,8
2014,5,Mayo,Colisión con ciclista,26,Sonora,30,Hermosillo,16,0,16
2014,5,Mayo,Colisión con motocicleta,26,Sonora,30,Hermosillo,36,0,37
2014,5,Mayo,Colisión con objeto fijo,26,Sonora,30,Hermosillo,33,1,14
2014,5,Mayo,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,37,2,39
2014,5,Mayo,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,279,0,69
2014,5,Mayo,Volcadura,26,Sonora,30,Hermosillo,5,0,1
2014,6,Junio,Caída de pasajero,26,Sonora,30,Hermosillo,4,0,4
2014,6,Junio,Colisión con ciclista,26,Sonora,30,Hermosillo,12,0,10
2014,6,Junio,Colisión con motocicleta,26,Sonora,30,Hermosillo,28,0,18
2014,6,Junio,Colisión con objeto fijo,26,Sonora,30,Hermosillo,15,1,5
2014,6,Junio,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,14,0,15
2014,6,Junio,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,211,1,57
2014,6,Junio,Volcadura,26,Sonora,30,Hermosillo,4,0,1
2014,7,Julio,Colisión con ciclista,26,Sonora,30,Hermosillo,8,0,8
2014,7,Julio,Colisión con motocicleta,26,Sonora,30,Hermosillo,17,0,19
2014,7,Julio,Colisión con objeto fijo,26,Sonora,30,Hermosillo,29,0,6
2014,7,Julio,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,13,0,13
2014,7,Julio,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,246,1,56
2014,7,Julio,Volcadura,26,Sonora,30,Hermosillo,2,0,1
2014,8,Agosto,Caída de pasajero,26,Sonora,30,Hermosillo,5,0,5
2014,8,Agosto,Colisión con ciclista,26,Sonora,30,Hermosillo,10,0,7
2014,8,Agosto,Colisión con motocicleta,26,Sonora,30,Hermosillo,17,0,9
2014,8,Agosto,Colisión con objeto fijo,26,Sonora,30,Hermosillo,36,4,9
2014,8,Agosto,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,19,0,27
2014,8,Agosto,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,275,0,70
2014,8,Agosto,Volcadura,26,Sonora,30,Hermosillo,7,0,0
2014,9,Septiembre,Caída de pasajero,26,Sonora,30,Hermosillo,3,0,3
2014,9,Septiembre,Colisión con ciclista,26,Sonora,30,Hermosillo,11,0,5
2014,9,Septiembre,Colisión con motocicleta,26,Sonora,30,Hermosillo,25,0,21
2014,9,Septiembre,Colisión con objeto fijo,26,Sonora,30,Hermosillo,24,0,3
2014,9,Septiembre,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,23,2,22
2014,9,Septiembre,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,255,1,64
2014,9,Septiembre,Salida del camino,26,Sonora,30,Hermosillo,2,0,0
2014,9,Septiembre,Volcadura,26,Sonora,30,Hermosillo,4,0,3
2014,10,Octubre,Caída de pasajero,26,Sonora,30,Hermosillo,5,0,5
2014,10,Octubre,Colisión con ciclista,26,Sonora,30,Hermosillo,8,1,5
2014,10,Octubre,Colisión con motocicleta,26,Sonora,30,Hermosillo,21,0,21
2014,10,Octubre,Colisión con objeto fijo,26,Sonora,30,Hermosillo,21,0,5
